               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12494,            0.033716,            0.030254,           0.0020009,            0.045455,           0.0011692,          0.00022851,                   0,                   0,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.10614,            0.036336,            0.027482,           0.0082101,            0.060606,           0.0070876,           0.0027111,                   0,                   0,                   0,            0.088287,           0.0012871,           0.0012871
                   2,            0.090925,            0.034348,            0.023109,            0.036067,            0.045455,            0.031915,            0.014068,                   0,                   0,                   0,             0.08196,           0.0019604,           0.0019604
                   3,            0.088559,            0.036082,            0.021437,            0.094565,             0.13636,            0.064653,            0.030551,                   0,                   0,                   0,             0.07562,           0.0026198,           0.0026198
                   4,            0.080585,            0.032503,            0.018778,             0.27044,             0.18182,             0.11627,            0.046637,                   0,                   0,                   0,            0.069265,           0.0032654,           0.0032654
                   5,            0.081311,            0.027787,            0.019017,             0.27723,             0.25758,             0.20954,             0.11856,                   0,                   0,                   0,            0.062897,            0.003897,            0.003897
                   6,            0.071196,            0.029037,            0.018164,             0.15976,             0.33333,             0.26379,               0.121,                   0,                   0,                   0,            0.056515,           0.0045149,           0.0045149
                   7,            0.068372,            0.023949,            0.018146,             0.26766,             0.45455,             0.35414,              0.1311,                   0,                   0,                   0,            0.050119,           0.0051188,           0.0051188
                   8,             0.07423,            0.026928,            0.017489,             0.14239,             0.59091,             0.15743,            0.073083,                   0,                   0,                   0,            0.043709,            0.005709,            0.005709
                   9,            0.072571,            0.022293,            0.016121,             0.36409,              0.5303,             0.43931,             0.15494,                   0,                   0,                   0,            0.037285,           0.0062852,           0.0062852
                  10,             0.08056,             0.02393,            0.016693,             0.20563,             0.66667,             0.20251,            0.070652,                   0,                   0,                   0,            0.030848,           0.0068476,           0.0068476
                  11,            0.075091,            0.021625,            0.018106,              0.2725,             0.56061,             0.30321,             0.12831,                   0,                   0,                   0,            0.024396,           0.0073961,           0.0073961
                  12,            0.074689,            0.023239,            0.016583,             0.23158,             0.56061,              0.3635,             0.16176,                   0,                   0,                   0,            0.017931,           0.0079308,           0.0079308
                  13,            0.069558,            0.025998,            0.015991,             0.27372,             0.42159,              0.3943,             0.14325,                   0,                   0,                   0,            0.011452,           0.0084516,           0.0084516
                  14,            0.080349,            0.021064,            0.015744,             0.27139,              0.6615,              0.3846,             0.15523,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  15,            0.064447,            0.017255,            0.015526,             0.39977,             0.45455,             0.46082,             0.20314,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.065643,            0.019768,            0.015553,             0.33824,             0.44564,             0.29515,             0.11821,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.072394,            0.020272,            0.015328,             0.52557,             0.45455,             0.54061,              0.2415,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.067335,            0.021027,            0.016218,             0.53087,             0.74242,             0.66149,             0.27501,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.05883,            0.020737,            0.014677,             0.60299,             0.48485,             0.61945,             0.22648,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.061022,            0.019809,            0.015004,             0.53599,             0.62181,             0.60071,             0.28809,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.063531,            0.020578,            0.015352,             0.50258,             0.48485,             0.54994,             0.16317,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.063382,            0.020302,            0.015199,             0.33242,             0.66667,              0.5593,             0.27351,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.056844,            0.019574,            0.013953,              0.3172,             0.77273,             0.44125,             0.17577,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.060624,            0.021372,            0.013607,             0.57396,             0.68182,               0.627,             0.33114,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,             0.05732,            0.020909,            0.014153,             0.51734,              0.6675,             0.67432,             0.39353,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.055065,            0.022683,            0.014014,             0.64094,             0.78788,             0.71718,             0.34211,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.056877,             0.01736,            0.013492,             0.41655,             0.75764,             0.48439,             0.18489,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.055697,            0.021642,            0.013342,              0.6615,             0.71212,             0.70593,             0.40448,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.055637,            0.019259,             0.01326,             0.75031,             0.74242,             0.80255,             0.31203,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.052523,            0.017215,            0.013223,             0.75657,             0.70675,             0.75864,             0.33313,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.051314,            0.017235,            0.013249,             0.71394,             0.71717,             0.74845,             0.30022,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.053064,            0.016573,            0.012835,             0.82155,             0.69268,             0.81505,             0.42651,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.048332,            0.016967,            0.012443,             0.76351,             0.60615,             0.72701,             0.35478,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.052171,            0.016855,            0.012134,             0.73965,              0.6039,             0.74292,             0.35475,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.047214,            0.017425,            0.011487,              0.7856,             0.80303,             0.79853,             0.46104,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.051329,             0.01746,            0.010852,             0.70443,             0.75758,             0.75829,             0.45958,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.054076,            0.017778,            0.011738,             0.76224,             0.75758,             0.78889,              0.4791,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.055083,            0.017698,            0.011235,             0.80988,             0.76252,             0.81887,             0.49493,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.052449,             0.01695,            0.011869,             0.47951,             0.72727,             0.57766,             0.30806,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.05148,            0.015801,            0.012517,             0.87128,             0.72398,              0.8165,             0.38928,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.050427,            0.018265,            0.011905,             0.73878,             0.80774,             0.80543,              0.3894,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.047576,            0.016834,            0.010209,             0.83757,             0.78176,             0.83181,             0.47305,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.045562,            0.015905,            0.011607,             0.91266,             0.78593,             0.84919,              0.4482,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.046112,            0.014631,            0.011118,             0.69569,             0.78788,             0.80651,             0.37767,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.051111,            0.017944,            0.011955,             0.70853,             0.88831,             0.81876,             0.44417,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.048388,            0.015527,            0.011987,             0.73594,             0.86364,             0.81329,             0.41526,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.048368,            0.016003,              0.0108,             0.89422,             0.74895,             0.83837,             0.48684,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.044141,            0.017168,            0.011609,             0.85133,             0.80243,             0.85958,             0.45618,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.051079,            0.015912,            0.010996,             0.88619,             0.77618,             0.86572,             0.45848,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.046653,            0.017406,             0.01093,             0.87362,             0.78788,             0.87253,             0.60032,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.045988,            0.017757,            0.011998,             0.86992,             0.79526,             0.85872,             0.43314,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.048545,            0.016837,            0.011626,             0.84924,             0.78327,             0.83374,             0.56724,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.046042,            0.015491,            0.011341,             0.86343,             0.77918,             0.84159,             0.39308,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.047311,            0.017176,            0.011163,             0.82691,             0.78333,             0.84294,             0.61392,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.043889,            0.016002,            0.010604,             0.85933,             0.80233,              0.8639,             0.47298,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.045614,            0.014272,            0.011119,              0.8859,             0.76574,             0.85112,             0.52549,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.044633,             0.01647,            0.010951,             0.89709,             0.78284,             0.87677,             0.53075,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.043459,            0.015577,             0.01099,             0.90335,             0.84677,             0.89273,             0.58171,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.043374,            0.015687,            0.011156,             0.92595,             0.85912,             0.91275,             0.58427,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.041554,            0.013432,            0.011376,             0.91121,             0.84443,             0.91822,             0.64873,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.04272,            0.015736,            0.010442,             0.83895,             0.88115,             0.86011,             0.57107,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.043185,            0.015739,            0.010699,             0.91802,             0.81818,             0.90717,             0.55636,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.043047,            0.017088,            0.011571,             0.85079,             0.86364,             0.89876,             0.56073,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.04137,            0.014824,            0.010528,             0.88249,             0.82814,             0.88231,             0.54927,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.044211,            0.016204,            0.010698,             0.87202,             0.83333,             0.89022,             0.67214,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.041374,            0.014554,            0.010252,             0.90524,             0.81818,             0.89501,              0.6541,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.044422,            0.013952,            0.010762,             0.90804,             0.78628,             0.87772,             0.61547,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.044807,            0.014072,            0.011106,             0.91394,             0.78788,             0.87835,             0.64674,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.044779,            0.015544,            0.011002,             0.93664,             0.80303,             0.88933,             0.64267,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.040943,             0.01459,            0.010739,             0.93692,             0.82824,             0.89528,              0.6589,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.040742,            0.015176,            0.011178,             0.93798,             0.84848,             0.90389,             0.66419,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.045192,            0.014917,            0.011316,             0.91681,             0.83333,             0.89918,             0.67094,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.040956,            0.014481,            0.010688,             0.94945,             0.80532,             0.89733,             0.66988,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.040316,            0.016622,           0.0096501,             0.94715,             0.79384,             0.88787,             0.65745,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.041023,            0.014756,           0.0099808,             0.94757,             0.80063,             0.88531,             0.66263,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.040271,            0.015291,            0.010364,             0.91449,             0.84848,             0.90427,             0.64812,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.039497,            0.016131,            0.010435,             0.97172,             0.82471,             0.90107,             0.64222,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.040035,            0.014734,           0.0099675,             0.96848,             0.86364,             0.91749,             0.67711,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.040327,            0.015333,            0.010251,             0.95802,             0.83333,             0.90144,             0.67041,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.039227,             0.01307,           0.0096084,             0.97217,             0.82864,             0.89763,             0.67386,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.037271,             0.01333,           0.0095237,             0.97037,             0.80303,             0.88539,             0.65264,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.038714,            0.016691,            0.010087,             0.94471,             0.78308,             0.85577,             0.63675,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.040645,            0.015937,            0.010686,             0.93568,             0.77273,             0.83565,             0.63232,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.035752,            0.012961,            0.010014,             0.94372,              0.7725,             0.85493,             0.64741,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.037544,            0.014218,            0.010237,             0.89641,             0.77273,             0.86643,              0.6493,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.040768,            0.016197,            0.010089,             0.93799,             0.77273,             0.86071,             0.63787,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.039923,            0.014757,            0.010073,             0.90254,             0.77273,             0.86078,             0.64774,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.038711,            0.014637,           0.0098429,             0.88543,             0.77273,             0.86423,              0.6432,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.039512,            0.015633,           0.0095332,             0.87702,             0.79408,             0.86767,             0.65369,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.037094,            0.013859,           0.0090758,             0.86261,               0.844,             0.87661,             0.66019,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.039795,            0.015327,            0.009473,             0.86091,             0.83333,             0.87577,             0.64629,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.035462,            0.014042,           0.0098623,             0.85679,             0.82532,             0.86532,             0.64538,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.038058,            0.014941,            0.009507,             0.88222,             0.81949,             0.86948,             0.64671,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.039458,            0.013361,           0.0098939,             0.89429,             0.80992,             0.87013,             0.65453,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.039521,            0.015083,            0.010521,             0.89672,             0.82044,             0.87148,             0.65545,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.035656,            0.013296,           0.0096345,             0.89523,             0.81302,             0.87303,             0.65563,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.038374,            0.013186,            0.010579,             0.88282,             0.81818,             0.87093,             0.65609,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.039648,            0.015729,            0.009779,             0.87948,             0.81818,             0.87148,             0.66264,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.036821,            0.013265,            0.009638,             0.90768,             0.80303,             0.87169,             0.65996,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
